"key","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","scope","assemblage","assemblage_label","trait_class","trait_label","n_sampling_units","target_coverage"
"band||28-30N||ballooning",18.2835205237541,"Rarefaction",1,0.727899963985328,7.42928796838725,0,15.0654025976729,"band","28-30N","28–30°N","ballooning","Ballooning-capable",38,0.7279
"band||28-30N||ballooning",18.2835205237541,"Rarefaction",2,0.727899963985328,5.59519012127949,2.61939300969527,8.57098723286371,"band","28-30N","28–30°N","ballooning","Ballooning-capable",38,0.7279
"band||28-30N||non_ballooning",38.0080892941861,"Extrapolation",0,0.7279,46.0061274671053,28.9865738464934,63.0256810877171,"band","28-30N","28–30°N","non_ballooning","Non-ballooning",38,0.7279
"band||28-30N||non_ballooning",38.0080892941861,"Extrapolation",1,0.7279,29.7939826751926,20.9411292255903,38.646836124795,"band","28-30N","28–30°N","non_ballooning","Non-ballooning",38,0.7279
"band||28-30N||non_ballooning",38.0080892941861,"Extrapolation",2,0.7279,19.5832789343996,14.3807866041607,24.7857712646386,"band","28-30N","28–30°N","non_ballooning","Non-ballooning",38,0.7279
"band||30-32N||ballooning",12.4925187949433,"Rarefaction",0,0.727900117409479,27.8545880538611,22.6879799405969,33.0211961671254,"band","30-32N","30–32°N","ballooning","Ballooning-capable",53,0.7279
"band||30-32N||ballooning",12.4925187949433,"Rarefaction",1,0.727900117409479,21.7954506764297,18.0281269470398,25.5627744058196,"band","30-32N","30–32°N","ballooning","Ballooning-capable",53,0.7279
"band||30-32N||ballooning",12.4925187949433,"Rarefaction",2,0.727900117409479,17.2751006939666,14.445736180908,20.1044652070253,"band","30-32N","30–32°N","ballooning","Ballooning-capable",53,0.7279
"band||30-32N||non_ballooning",20.8191445934867,"Rarefaction",0,0.727900001020414,38.0885936242163,29.7932007197794,46.3839865286532,"band","30-32N","30–32°N","non_ballooning","Non-ballooning",53,0.7279
"band||30-32N||non_ballooning",20.8191445934867,"Rarefaction",1,0.727900001020414,28.0951322882161,22.7363619688168,33.4539026076155,"band","30-32N","30–32°N","non_ballooning","Non-ballooning",53,0.7279
"band||30-32N||non_ballooning",20.8191445934867,"Rarefaction",2,0.727900001020414,20.4117176142778,16.6317690742667,24.1916661542888,"band","30-32N","30–32°N","non_ballooning","Non-ballooning",53,0.7279
"adjacent_pair_pool||23-24N__24-26N||ballooning",11.9014116255777,"Rarefaction",0,0.72790024081075,31.0012178325809,26.9553858751109,35.0470497900509,"adjacent_pair_pool","23-24N__24-26N","23-24N to 24-26N","ballooning","Ballooning-capable",62,0.7279
"adjacent_pair_pool||23-24N__24-26N||ballooning",11.9014116255777,"Rarefaction",1,0.72790024081075,25.5742341621525,22.4932473750369,28.6552209492681,"adjacent_pair_pool","23-24N__24-26N","23-24N to 24-26N","ballooning","Ballooning-capable",62,0.7279
"adjacent_pair_pool||23-24N__24-26N||ballooning",11.9014116255777,"Rarefaction",2,0.72790024081075,21.1010717351972,18.6305807739629,23.5715626964316,"adjacent_pair_pool","23-24N__24-26N","23-24N to 24-26N","ballooning","Ballooning-capable",62,0.7279
"adjacent_pair_pool||23-24N__24-26N||non_ballooning",13.2160478650505,"Rarefaction",0,0.72790015023363,44.7198978991818,38.0428602957812,51.3969355025825,"adjacent_pair_pool","23-24N__24-26N","23-24N to 24-26N","non_ballooning","Non-ballooning",62,0.7279
"adjacent_pair_pool||23-24N__24-26N||non_ballooning",13.2160478650505,"Rarefaction",1,0.72790015023363,35.1308007371518,30.5013267529012,39.7602747214025,"adjacent_pair_pool","23-24N__24-26N","23-24N to 24-26N","non_ballooning","Non-ballooning",62,0.7279
"adjacent_pair_pool||23-24N__24-26N||non_ballooning",13.2160478650505,"Rarefaction",2,0.72790015023363,27.5178368977672,24.2087111577988,30.8269626377355,"adjacent_pair_pool","23-24N__24-26N","23-24N to 24-26N","non_ballooning","Non-ballooning",62,0.7279
"adjacent_pair_pool||24-26N__26-28N||ballooning",29.9629479091157,"Rarefaction",0,0.727899927460482,26.1488751106248,20.6178921224119,31.6798580988377,"adjacent_pair_pool","24-26N__26-28N","24-26N to 26-28N","ballooning","Ballooning-capable",92,0.7279
"adjacent_pair_pool||24-26N__26-28N||ballooning",29.9629479091157,"Rarefaction",1,0.727899927460482,19.608511135422,15.742499164237,23.474523106607,"adjacent_pair_pool","24-26N__26-28N","24-26N to 26-28N","ballooning","Ballooning-capable",92,0.7279
"adjacent_pair_pool||24-26N__26-28N||ballooning",29.9629479091157,"Rarefaction",2,0.727899927460482,14.5379906384807,11.6063138561159,17.4696674208455,"adjacent_pair_pool","24-26N__26-28N","24-26N to 26-28N","ballooning","Ballooning-capable",92,0.7279
"adjacent_pair_pool||24-26N__26-28N||non_ballooning",22.8557803962433,"Rarefaction",0,0.727899878233078,37.6954965374382,31.8203547432443,43.5706383316321,"adjacent_pair_pool","24-26N__26-28N","24-26N to 26-28N","non_ballooning","Non-ballooning",92,0.7279
"adjacent_pair_pool||24-26N__26-28N||non_ballooning",22.8557803962433,"Rarefaction",1,0.727899878233078,28.4138382415641,24.4549809745705,32.3726955085576,"adjacent_pair_pool","24-26N__26-28N","24-26N to 26-28N","non_ballooning","Non-ballooning",92,0.7279
"adjacent_pair_pool||24-26N__26-28N||non_ballooning",22.8557803962433,"Rarefaction",2,0.727899878233078,20.7603455811873,17.9691258540623,23.5515653083124,"adjacent_pair_pool","24-26N__26-28N","24-26N to 26-28N","non_ballooning","Non-ballooning",92,0.7279
"adjacent_pair_pool||26-28N__28-30N||ballooning",31.5813881775096,"Rarefaction",0,0.727900049971168,18.5866036240579,14.1858313959229,22.9873758521929,"adjacent_pair_pool","26-28N__28-30N","26-28N to 28-30N","ballooning","Ballooning-capable",90,0.7279
"adjacent_pair_pool||26-28N__28-30N||ballooning",31.5813881775096,"Rarefaction",1,0.727900049971168,13.0134367589615,9.95518653107027,16.0716869868527,"adjacent_pair_pool","26-28N__28-30N","26-28N to 28-30N","ballooning","Ballooning-capable",90,0.7279
"adjacent_pair_pool||26-28N__28-30N||ballooning",31.5813881775096,"Rarefaction",2,0.727900049971168,9.05416013573633,6.78927354171859,11.3190467297541,"adjacent_pair_pool","26-28N__28-30N","26-28N to 28-30N","ballooning","Ballooning-capable",90,0.7279
"adjacent_pair_pool||26-28N__28-30N||non_ballooning",25.8777985045461,"Rarefaction",0,0.727900118760897,33.5740298604878,26.6109071096509,40.5371526113247,"adjacent_pair_pool","26-28N__28-30N","26-28N to 28-30N","non_ballooning","Non-ballooning",90,0.7279
"adjacent_pair_pool||26-28N__28-30N||non_ballooning",25.8777985045461,"Rarefaction",1,0.727900118760897,24.2790647133719,19.8236405727661,28.7344888539776,"adjacent_pair_pool","26-28N__28-30N","26-28N to 28-30N","non_ballooning","Non-ballooning",90,0.7279
"adjacent_pair_pool||26-28N__28-30N||non_ballooning",25.8777985045461,"Rarefaction",2,0.727900118760897,17.2906434691507,14.2347356629527,20.3465512753488,"adjacent_pair_pool","26-28N__28-30N","26-28N to 28-30N","non_ballooning","Non-ballooning",90,0.7279
"adjacent_pair_pool||28-30N__30-32N||ballooning",17.5980975185734,"Rarefaction",0,0.727900043710637,26.3829740426567,22.0236553510945,30.742292734219,"adjacent_pair_pool","28-30N__30-32N","28-30N to 30-32N","ballooning","Ballooning-capable",91,0.7279
"adjacent_pair_pool||28-30N__30-32N||ballooning",17.5980975185734,"Rarefaction",1,0.727900043710637,19.7743163072831,16.8737844032926,22.6748482112737,"adjacent_pair_pool","28-30N__30-32N","28-30N to 30-32N","ballooning","Ballooning-capable",91,0.7279
"adjacent_pair_pool||28-30N__30-32N||ballooning",17.5980975185734,"Rarefaction",2,0.727900043710637,14.9698960573863,12.9357385341858,17.0040535805868,"adjacent_pair_pool","28-30N__30-32N","28-30N to 30-32N","ballooning","Ballooning-capable",91,0.7279
"adjacent_pair_pool||28-30N__30-32N||non_ballooning",27.212298547705,"Rarefaction",0,0.727899927270619,43.0459395116426,35.1906060336553,50.9012729896299,"adjacent_pair_pool","28-30N__30-32N","28-30N to 30-32N","non_ballooning","Non-ballooning",91,0.7279
"adjacent_pair_pool||28-30N__30-32N||non_ballooning",27.212298547705,"Rarefaction",1,0.727899927270619,30.5907048286672,25.7234840390456,35.4579256182888,"adjacent_pair_pool","28-30N__30-32N","28-30N to 30-32N","non_ballooning","Non-ballooning",91,0.7279
"adjacent_pair_pool||28-30N__30-32N||non_ballooning",27.212298547705,"Rarefaction",2,0.727899927270619,21.2032134161256,17.8939806665971,24.5124461656542,"adjacent_pair_pool","28-30N__30-32N","28-30N to 30-32N","non_ballooning","Non-ballooning",91,0.7279
